Customer ID,Customer Name,Gender,Age,City,State,Region,Membership Type,Segment
CUST00001,Rohan Patel,Male,24,Noida,Uttar Pradesh,North,Silver,Consumer
CUST00002,Ananya Gupta,Female,53,Mangaluru,Karnataka,South,Gold,Consumer
CUST00003,Priya Das,Female,18,Lucknow,Uttar Pradesh,North,Gold,Consumer
CUST00004,Vivaan Kale,Male,36,Bengaluru,Karnataka,South,Silver,Consumer
CUST00005,Rohan Shinde,Male,70,Jodhpur,Rajasthan,North,Gold,Consumer
CUST00006,Ananya Nair,Female,58,Agra,Uttar Pradesh,North,Silver,Corporate
CUST00007,Aisha Kulkarni,Female,64,Pune,Maharashtra,West,Platinum,Consumer
CUST00008,Asif Shaikh,Male,64,Lucknow,Uttar Pradesh,North,Silver,Corporate
CUST00009,Nadeem Khan,Male,18,Rohini,Delhi,North,Platinum,Consumer
CUST00010,Rohan Joshi,Male,48,Trichy,Tamil Nadu,South,Silver,Consumer
CUST00011,Riya Sharma,Female,47,Pune,Maharashtra,West,Silver,Corporate
CUST00012,Kavya Nair,Female,57,Mumbai,Maharashtra,West,Silver,Corporate
CUST00013,Karan Sharma,Male,52,Lucknow,Uttar Pradesh,North,Gold,Consumer
CUST00014,Sneha Joshi,Female,39,Thane,Maharashtra,West,Silver,Consumer
CUST00015,Vihsal Deshmukh,Male,60,Mangaluru,Karnataka,South,Gold,Corporate
CUST00016,Suresh Nair,Male,59,Surat,Gujarat,West,Gold,Consumer
CUST00017,Vinod Pandey,Male,69,Dwarka,Delhi,North,Silver,Consumer
CUST00018,Vikram Sharma,Male,73,Siliguri,West Bengal,East,Gold,Home Office
CUST00019,Sneha Nair,Female,51,Pune,Maharashtra,West,Gold,Consumer
CUST00020,Rahul Kulkarni,Male,64,Saket,Delhi,North,Silver,Consumer
CUST00021,Vinay Tendulkar,Male,74,Coimbatore,Tamil Nadu,South,Silver,Consumer
CUST00022,Arjun Kulkarni,Male,30,Chennai,Tamil Nadu,South,Silver,Consumer
CUST00023,Priya Iyer,Female,26,Belagavi,Karnataka,South,Silver,Consumer
CUST00024,Rohan Das,Male,43,Udaipur,Rajasthan,North,Gold,Home Office
CUST00025,Amit Das,Male,62,Udaipur,Rajasthan,North,Silver,Consumer
CUST00026,Samiksha Shah,Female,31,Durgapur,West Bengal,East,Silver,Corporate
CUST00027,Karan Sharma,Male,50,Varanasi,Uttar Pradesh,North,Gold,Consumer
CUST00028,Aisha Patel,Female,34,Ahmedabad,Gujarat,West,Gold,Consumer
CUST00029,Ananya Das,Female,24,Noida,Uttar Pradesh,North,Silver,Home Office
CUST00030,Pooja Joshi,Female,54,Rajkot,Gujarat,West,Silver,Home Office
CUST00031,Meera Das,Female,21,Vadodara,Gujarat,West,Silver,Consumer
CUST00032,Neha Joshi,Female,52,Nashik,Maharashtra,West,Silver,Consumer
CUST00033,Amit Sharma,Male,75,Ajmer,Rajasthan,North,Gold,Consumer
CUST00034,Rahul Nair,Male,73,Chennai,Tamil Nadu,South,Silver,Home Office
CUST00035,Kavya Sharma,Female,61,Nashik,Maharashtra,West,Silver,Consumer
CUST00036,Suresh Singh,Male,73,Rajkot,Gujarat,West,Silver,Consumer
CUST00037,Vikram Das,Male,51,Surat,Gujarat,West,Gold,Consumer
CUST00038,Priya Sharma,Female,51,Varanasi,Uttar Pradesh,North,Silver,Consumer
CUST00039,Arjun Sharma,Male,22,Coimbatore,Tamil Nadu,South,Platinum,Consumer
CUST00040,Meera Sharma,Female,64,Pune,Maharashtra,West,Gold,Home Office
CUST00041,Priya Verma,Female,50,Howrah,West Bengal,East,Gold,Corporate
CUST00042,Pooja Nair,Female,60,Trichy,Tamil Nadu,South,Silver,Consumer
CUST00043,Vikram Sharma,Male,48,Surat,Gujarat,West,Gold,Consumer
CUST00044,Vikram Iyer,Male,51,Nashik,Maharashtra,West,Silver,Consumer
CUST00045,Vivaan Kulkarni,Male,60,Saket,Delhi,North,Gold,Corporate
CUST00046,Karan Gupta,Male,74,Kanpur,Uttar Pradesh,North,Silver,Corporate
CUST00047,Vivaan Iyer,Male,27,Mumbai,Maharashtra,West,Silver,Home Office
CUST00048,Ananya Sharma,Female,47,Bengaluru,Karnataka,South,Silver,Consumer
CUST00049,Riya Singh,Female,68,Coimbatore,Tamil Nadu,South,Silver,Consumer
CUST00050,Rohan Iyer,Male,68,Noida,Uttar Pradesh,North,Gold,Consumer
CUST00051,Vivaan Singh,Male,26,Surat,Gujarat,West,Gold,Corporate
CUST00052,Kavya Kulkarni,Female,58,Durgapur,West Bengal,East,Gold,Corporate
CUST00053,Aisha Iyer,Female,50,Nagpur,Maharashtra,West,Gold,Consumer
CUST00054,Amit Iyer,Male,64,Jaipur,Rajasthan,North,Platinum,Consumer
CUST00055,Priya Singh,Female,45,Madurai,Tamil Nadu,South,Silver,Corporate
CUST00056,Karan Sharma,Male,66,Ahmedabad,Gujarat,West,Gold,Corporate
CUST00057,Neha Patel,Female,24,Belagavi,Karnataka,South,Silver,Home Office
CUST00058,Ananya Verma,Female,34,Howrah,West Bengal,East,Silver,Consumer
CUST00059,Suresh Patel,Male,69,Durgapur,West Bengal,East,Gold,Home Office
CUST00060,Riya Singh,Female,71,Mumbai,Maharashtra,West,Gold,Home Office
CUST00061,Kavya Iyer,Female,42,Mysuru,Karnataka,South,Silver,Consumer
CUST00062,Karan Gupta,Male,52,Dwarka,Delhi,North,Silver,Corporate
CUST00063,Sneha Patel,Female,68,Mumbai,Maharashtra,West,Silver,Consumer
CUST00064,Rohan Verma,Male,60,Kolkata,West Bengal,East,Silver,Corporate
CUST00065,Karan Singh,Male,45,Jaipur,Rajasthan,North,Gold,Corporate
CUST00066,Aditya Sharma,Male,46,Chennai,Tamil Nadu,South,Platinum,Consumer
CUST00067,Meera Iyer,Female,23,Dwarka,Delhi,North,Silver,Consumer
CUST00068,Ananya Singh,Female,72,Pune,Maharashtra,West,Silver,Home Office
CUST00069,Karan Joshi,Male,60,Noida,Uttar Pradesh,North,Gold,Consumer
CUST00070,Priya Patel,Female,27,Pune,Maharashtra,West,Gold,Consumer
CUST00071,Aisha Kulkarni,Female,36,Noida,Uttar Pradesh,North,Gold,Consumer
CUST00072,Aarav Das,Male,66,Belagavi,Karnataka,South,Platinum,Consumer
CUST00073,Pooja Kulkarni,Female,41,Jaipur,Rajasthan,North,Gold,Consumer
CUST00074,Meera Das,Female,28,Howrah,West Bengal,East,Silver,Consumer
CUST00075,Aisha Nair,Female,60,Bengaluru,Karnataka,South,Silver,Consumer
CUST00076,Suresh Patel,Male,66,Ajmer,Rajasthan,North,Gold,Corporate
CUST00077,Aisha Iyer,Female,39,Noida,Uttar Pradesh,North,Silver,Consumer
CUST00078,Suresh Gupta,Male,26,Kolkata,West Bengal,East,Gold,Consumer
CUST00079,Neha Kulkarni,Female,59,Trichy,Tamil Nadu,South,Gold,Consumer
CUST00080,Vikram Gupta,Male,61,Vadodara,Gujarat,West,Gold,Consumer
CUST00081,Riya Nair,Female,58,Kolkata,West Bengal,East,Gold,Consumer
CUST00082,Riya Joshi,Female,20,Mumbai,Maharashtra,West,Platinum,Consumer
CUST00083,Suresh Kulkarni,Male,62,Ajmer,Rajasthan,North,Gold,Consumer
CUST00084,Vikram Singh,Male,58,Kota,Rajasthan,North,Silver,Consumer
CUST00085,Rohan Iyer,Male,40,Ahmedabad,Gujarat,West,Gold,Consumer
CUST00086,Suresh Sharma,Male,44,Ajmer,Rajasthan,North,Gold,Consumer
CUST00087,Aditya Iyer,Male,62,Madurai,Tamil Nadu,South,Gold,Consumer
CUST00088,Rahul Kulkarni,Male,30,Lucknow,Uttar Pradesh,North,Silver,Consumer
CUST00089,Arjun Patel,Male,70,Karol Bagh,Delhi,North,Gold,Consumer
CUST00090,Riya Sharma,Female,24,Lucknow,Uttar Pradesh,North,Platinum,Consumer
CUST00091,Aisha Iyer,Female,56,Rohini,Delhi,North,Silver,Consumer
CUST00092,Ananya Singh,Female,62,Vadodara,Gujarat,West,Silver,Consumer
CUST00093,Pooja Kulkarni,Female,48,Thane,Maharashtra,West,Silver,Consumer
CUST00094,Meera Singh,Female,30,Surat,Gujarat,West,Silver,Consumer
CUST00095,Riya Verma,Female,23,Noida,Uttar Pradesh,North,Silver,Consumer
CUST00096,Amit Iyer,Male,54,Agra,Uttar Pradesh,North,Silver,Consumer
CUST00097,Aditya Nair,Male,35,Ajmer,Rajasthan,North,Silver,Consumer
CUST00098,Karan Patel,Male,22,Agra,Uttar Pradesh,North,Silver,Consumer
CUST00099,Aditya Iyer,Male,69,Mysuru,Karnataka,South,Silver,Consumer
CUST00100,Divya Singh,Female,30,Madurai,Tamil Nadu,South,Silver,Corporate
CUST00101,Pooja Das,Female,29,Jaipur,Rajasthan,North,Gold,Consumer
CUST00102,Rahul Sharma,Male,20,Dwarka,Delhi,North,Silver,Consumer
CUST00103,Kavya Gupta,Female,51,Saket,Delhi,North,Gold,Consumer
CUST00104,Karan Gupta,Male,28,Madurai,Tamil Nadu,South,Gold,Consumer
CUST00105,Ananya Das,Female,45,Udaipur,Rajasthan,North,Gold,Consumer
CUST00106,Arjun Singh,Male,50,Rajkot,Gujarat,West,Platinum,Consumer
CUST00107,Aditya Kulkarni,Male,49,Mysuru,Karnataka,South,Silver,Consumer
CUST00108,Aarav Joshi,Male,53,Kanpur,Uttar Pradesh,North,Gold,Corporate
CUST00109,Priya Verma,Female,37,Gandhinagar,Gujarat,West,Silver,Consumer
CUST00110,Arjun Sharma,Male,50,Karol Bagh,Delhi,North,Platinum,Consumer
CUST00111,Aisha Kulkarni,Female,52,Karol Bagh,Delhi,North,Silver,Consumer
CUST00112,Aditya Verma,Male,46,Howrah,West Bengal,East,Gold,Corporate
CUST00113,Vikram Joshi,Male,72,Durgapur,West Bengal,East,Silver,Consumer
CUST00114,Sneha Das,Female,18,New Delhi,Delhi,North,Gold,Consumer
CUST00115,Riya Nair,Female,33,Mysuru,Karnataka,South,Gold,Consumer
CUST00116,Neha Kulkarni,Female,41,Salem,Tamil Nadu,South,Silver,Home Office
CUST00117,Kavya Kulkarni,Female,63,Lucknow,Uttar Pradesh,North,Platinum,Consumer
CUST00118,Aditya Das,Male,69,Siliguri,West Bengal,East,Gold,Home Office
CUST00119,Vikram Iyer,Male,33,Jaipur,Rajasthan,North,Silver,Corporate
CUST00120,Vikram Gupta,Male,51,Mysuru,Karnataka,South,Silver,Consumer
CUST00121,Meera Joshi,Female,54,Nashik,Maharashtra,West,Silver,Corporate
CUST00122,Neha Patel,Female,59,Salem,Tamil Nadu,South,Gold,Home Office
CUST00123,Karan Verma,Male,65,Ajmer,Rajasthan,North,Gold,Consumer
CUST00124,Vikram Nair,Male,51,Chennai,Tamil Nadu,South,Silver,Corporate
CUST00125,Neha Singh,Female,62,Chennai,Tamil Nadu,South,Silver,Consumer
CUST00126,Meera Joshi,Female,38,Surat,Gujarat,West,Gold,Consumer
CUST00127,Arjun Sharma,Male,35,Madurai,Tamil Nadu,South,Silver,Consumer
CUST00128,Aisha Gupta,Female,22,Coimbatore,Tamil Nadu,South,Gold,Home Office
CUST00129,Amit Joshi,Male,41,Mumbai,Maharashtra,West,Gold,Consumer
CUST00130,Aisha Patel,Female,70,Mysuru,Karnataka,South,Gold,Consumer
CUST00131,Pooja Das,Female,48,Durgapur,West Bengal,East,Gold,Consumer
CUST00132,Aisha Kulkarni,Female,47,Howrah,West Bengal,East,Silver,Consumer
CUST00133,Karan Sharma,Male,61,Siliguri,West Bengal,East,Gold,Consumer
CUST00134,Arjun Singh,Male,26,Belagavi,Karnataka,South,Silver,Consumer
CUST00135,Kavya Singh,Female,65,Mumbai,Maharashtra,West,Silver,Corporate
CUST00136,Aditya Singh,Male,39,Nashik,Maharashtra,West,Silver,Consumer
CUST00137,Suresh Verma,Male,71,Kanpur,Uttar Pradesh,North,Silver,Consumer
CUST00138,Meera Das,Female,66,Pune,Maharashtra,West,Gold,Corporate
CUST00139,Aarav Joshi,Male,62,Thane,Maharashtra,West,Silver,Consumer
CUST00140,Aditya Iyer,Male,33,Madurai,Tamil Nadu,South,Gold,Consumer
CUST00141,Vivaan Kulkarni,Male,39,Salem,Tamil Nadu,South,Silver,Consumer
CUST00142,Riya Das,Female,45,Chennai,Tamil Nadu,South,Silver,Consumer
CUST00143,Priya Gupta,Female,52,Ajmer,Rajasthan,North,Gold,Consumer
CUST00144,Arjun Gupta,Male,67,Rohini,Delhi,North,Silver,Consumer
CUST00145,Rohan Iyer,Male,33,Kolkata,West Bengal,East,Platinum,Consumer
CUST00146,Rohan Patel,Male,41,Kanpur,Uttar Pradesh,North,Platinum,Corporate
CUST00147,Suresh Nair,Male,22,Jaipur,Rajasthan,North,Gold,Consumer
CUST00148,Kavya Singh,Female,64,Thane,Maharashtra,West,Silver,Consumer
CUST00149,Aditya Das,Male,73,Belagavi,Karnataka,South,Gold,Consumer
CUST00150,Priya Joshi,Female,35,Mumbai,Maharashtra,West,Silver,Consumer
CUST00151,Aisha Patel,Female,60,Hubli,Karnataka,South,Gold,Home Office
CUST00152,Meera Kulkarni,Female,58,Siliguri,West Bengal,East,Gold,Consumer
CUST00153,Neha Singh,Female,38,Salem,Tamil Nadu,South,Silver,Corporate
CUST00154,Vikram Nair,Male,37,Salem,Tamil Nadu,South,Silver,Home Office
CUST00155,Meera Das,Female,24,Thane,Maharashtra,West,Gold,Consumer
CUST00156,Neha Joshi,Female,26,Rohini,Delhi,North,Silver,Consumer
CUST00157,Aisha Gupta,Female,36,Siliguri,West Bengal,East,Silver,Home Office
CUST00158,Suresh Nair,Male,67,Siliguri,West Bengal,East,Silver,Corporate
CUST00159,Rohan Joshi,Male,22,Salem,Tamil Nadu,South,Silver,Consumer
CUST00160,Neha Iyer,Female,23,Mangaluru,Karnataka,South,Silver,Consumer
CUST00161,Neha Sharma,Female,57,Gandhinagar,Gujarat,West,Gold,Consumer
CUST00162,Neha Verma,Female,67,Vadodara,Gujarat,West,Gold,Consumer
CUST00163,Pooja Sharma,Female,36,Nagpur,Maharashtra,West,Gold,Consumer
CUST00164,Arjun Joshi,Male,70,Bengaluru,Karnataka,South,Silver,Consumer
CUST00165,Aarav Patel,Male,48,Salem,Tamil Nadu,South,Gold,Home Office
CUST00166,Neha Nair,Female,19,Jaipur,Rajasthan,North,Platinum,Consumer
CUST00167,Karan Das,Male,54,Asansol,West Bengal,East,Silver,Consumer
CUST00168,Neha Joshi,Female,72,Nashik,Maharashtra,West,Silver,Consumer
CUST00169,Sneha Gupta,Female,69,Dwarka,Delhi,North,Silver,Consumer
CUST00170,Arjun Iyer,Male,37,Pune,Maharashtra,West,Platinum,Consumer
CUST00171,Amit Joshi,Male,31,Jodhpur,Rajasthan,North,Silver,Consumer
CUST00172,Aisha Patel,Female,20,Coimbatore,Tamil Nadu,South,Silver,Corporate
CUST00173,Aditya Verma,Male,66,Noida,Uttar Pradesh,North,Gold,Consumer
CUST00174,Aarav Verma,Male,60,Rajkot,Gujarat,West,Silver,Consumer
CUST00175,Divya Iyer,Female,67,Rajkot,Gujarat,West,Silver,Home Office
CUST00176,Vivaan Nair,Male,31,Rohini,Delhi,North,Silver,Corporate
CUST00177,Karan Gupta,Male,37,Dwarka,Delhi,North,Silver,Corporate
CUST00178,Rohan Kulkarni,Male,48,Belagavi,Karnataka,South,Silver,Consumer
CUST00179,Ananya Patel,Female,64,Nagpur,Maharashtra,West,Platinum,Home Office
CUST00180,Aarav Kulkarni,Male,20,Ajmer,Rajasthan,North,Silver,Corporate
CUST00181,Sneha Das,Female,30,Belagavi,Karnataka,South,Platinum,Consumer
CUST00182,Pooja Sharma,Female,44,Mangaluru,Karnataka,South,Silver,Home Office
CUST00183,Meera Sharma,Female,26,Salem,Tamil Nadu,South,Silver,Consumer
CUST00184,Meera Iyer,Female,58,Mumbai,Maharashtra,West,Gold,Consumer
CUST00185,Sneha Singh,Female,48,Howrah,West Bengal,East,Gold,Corporate
CUST00186,Rahul Joshi,Male,62,Siliguri,West Bengal,East,Gold,Consumer
CUST00187,Amit Das,Male,53,Karol Bagh,Delhi,North,Silver,Consumer
CUST00188,Priya Verma,Female,25,Ahmedabad,Gujarat,West,Platinum,Consumer
CUST00189,Priya Singh,Female,45,Kolkata,West Bengal,East,Platinum,Consumer
CUST00190,Ananya Joshi,Female,75,Belagavi,Karnataka,South,Silver,Consumer
CUST00191,Aditya Sharma,Male,28,Thane,Maharashtra,West,Silver,Consumer
CUST00192,Vikram Nair,Male,38,Howrah,West Bengal,East,Silver,Home Office
CUST00193,Rohan Das,Male,22,Saket,Delhi,North,Silver,Consumer
CUST00194,Neha Joshi,Female,21,Varanasi,Uttar Pradesh,North,Silver,Consumer
CUST00195,Karan Singh,Male,66,Trichy,Tamil Nadu,South,Gold,Consumer
CUST00196,Riya Kulkarni,Female,37,Kota,Rajasthan,North,Silver,Consumer
CUST00197,Vivaan Das,Male,50,Noida,Uttar Pradesh,North,Silver,Consumer
CUST00198,Priya Sharma,Female,47,Lucknow,Uttar Pradesh,North,Silver,Consumer
CUST00199,Divya Patel,Female,29,Kolkata,West Bengal,East,Silver,Corporate
CUST00200,Meera Verma,Female,70,Vadodara,Gujarat,West,Silver,Consumer
CUST00201,Aisha Nair,Female,38,Rohini,Delhi,North,Silver,Consumer
CUST00202,Suresh Iyer,Male,48,Lucknow,Uttar Pradesh,North,Silver,Consumer
CUST00203,Vikram Sharma,Male,43,Ahmedabad,Gujarat,West,Silver,Consumer
CUST00204,Neha Patel,Female,22,Belagavi,Karnataka,South,Platinum,Consumer
CUST00205,Amit Das,Male,37,Varanasi,Uttar Pradesh,North,Silver,Consumer
CUST00206,Neha Nair,Female,70,Gandhinagar,Gujarat,West,Silver,Consumer
CUST00207,Ananya Singh,Female,59,Hubli,Karnataka,South,Gold,Home Office
CUST00208,Kavya Patel,Female,18,Ahmedabad,Gujarat,West,Silver,Consumer
CUST00209,Aisha Iyer,Female,57,Siliguri,West Bengal,East,Silver,Consumer
CUST00210,Sneha Sharma,Female,44,Madurai,Tamil Nadu,South,Silver,Consumer
CUST00211,Aditya Das,Male,30,Durgapur,West Bengal,East,Silver,Consumer
CUST00212,Sneha Iyer,Female,65,Chennai,Tamil Nadu,South,Gold,Consumer
CUST00213,Ananya Gupta,Female,70,Mumbai,Maharashtra,West,Silver,Corporate
CUST00214,Vivaan Singh,Male,56,Mumbai,Maharashtra,West,Gold,Consumer
CUST00215,Karan Das,Male,30,Trichy,Tamil Nadu,South,Silver,Consumer
CUST00216,Vikram Iyer,Male,60,Chennai,Tamil Nadu,South,Gold,Corporate
CUST00217,Aisha Das,Female,62,Mumbai,Maharashtra,West,Gold,Consumer
